Oscilloscope data. 
Time step = 10,00 nS
Voltage step = 3,125 mV
Zero level = 128

N 	Smpl.	Trig

0	115	0
1	115	0
2	115	0
3	115	0
4	115	0
5	115	0
6	115	0
7	115	0
8	115	0
9	115	0
10	115	0
11	115	0
12	115	0
13	115	0
14	115	0
15	115	0
16	115	0
17	115	0
18	115	0
19	115	0
20	115	0
21	115	0
22	115	0
23	115	0
24	115	0
25	115	0
26	115	0
27	115	0
28	115	0
29	115	0
30	115	0
31	115	0
32	115	0
33	115	0
34	115	0
35	115	0
36	115	0
37	115	0
38	115	0
39	114	0
40	115	0
41	115	0
42	115	0
43	115	0
44	115	0
45	115	0
46	115	0
47	115	0
48	115	0
49	115	0
50	115	0
51	115	0
52	115	0
53	115	0
54	115	0
55	115	0
56	115	0
57	115	0
58	115	0
59	115	0
60	115	0
61	115	0
62	115	0
63	115	0
64	115	0
65	115	0
66	115	0
67	115	0
68	113	0
69	115	0
70	115	0
71	115	0
72	115	0
73	115	0
74	115	0
75	115	0
76	115	0
77	115	0
78	115	0
79	115	0
80	115	0
81	115	0
82	115	0
83	115	0
84	115	0
85	115	0
86	115	0
87	115	0
88	115	0
89	115	0
90	115	0
91	115	0
92	115	0
93	115	0
94	115	0
95	115	0
96	115	0
97	115	0
98	115	0
99	115	0
100	115	0
101	115	1
102	115	1
103	115	1
104	115	1
105	115	1
106	115	1
107	115	1
108	115	1
109	114	1
110	115	1
111	115	1
112	115	1
113	115	1
114	115	1
115	115	1
116	115	1
117	115	1
118	115	1
119	115	1
120	115	1
121	115	1
122	115	1
123	115	1
124	115	1
125	115	1
126	115	1
127	115	1
128	115	1
129	115	1
130	115	1
131	115	1
132	115	1
133	115	1
134	115	1
135	115	1
136	115	1
137	115	1
138	115	1
139	115	1
140	115	1
141	115	1
142	115	1
143	115	1
144	115	1
145	115	1
146	114	1
147	115	1
148	115	1
149	115	1
150	115	1
151	115	1
152	115	1
153	115	1
154	115	1
155	128	1
156	205	1
157	215	1
158	217	1
159	219	1
160	221	1
161	221	1
162	221	1
163	221	1
164	221	1
165	221	1
166	221	1
167	222	1
168	223	1
169	223	1
170	223	1
171	223	1
172	223	1
173	223	1
174	224	1
175	224	1
176	224	1
177	223	1
178	225	1
179	225	1
180	225	1
181	225	1
182	226	1
183	227	1
184	225	1
185	225	1
186	227	1
187	227	1
188	227	1
189	227	1
190	227	1
191	227	1
192	227	1
193	228	1
194	228	1
195	228	1
196	228	1
197	228	1
198	229	1
199	228	1
200	229	1
201	229	1
202	229	1
203	229	1
204	229	1
205	229	1
206	229	1
207	229	1
208	229	1
209	230	1
210	230	1
211	231	1
212	231	1
213	231	1
214	231	1
215	231	1
216	231	1
217	231	1
218	231	1
219	232	1
220	232	1
221	232	1
222	232	1
223	233	1
224	233	1
225	232	1
226	233	1
227	233	1
228	233	1
229	233	1
230	233	1
231	233	1
232	233	1
233	233	1
234	233	1
235	234	1
236	233	1
237	233	1
238	234	1
239	234	1
240	235	1
241	235	1
242	235	1
243	235	1
244	235	1
245	235	1
246	235	1
247	235	1
248	235	1
249	235	1
250	235	1
251	235	1
252	235	1
253	235	1
254	236	1
255	236	1
256	236	1
257	236	1
258	236	1
259	236	1
260	236	1
261	236	1
262	236	1
263	237	1
264	237	1
265	237	1
266	237	1
267	235	1
268	192	1
269	141	1
270	118	1
271	112	1
272	112	1
273	114	1
274	116	1
275	117	1
276	116	1
277	117	1
278	117	1
279	116	1
280	115	1
281	115	1
282	115	1
283	115	1
284	115	1
285	115	1
286	115	1
287	115	1
288	115	1
289	115	1
290	115	1
291	115	1
292	115	1
293	115	1
294	115	1
295	115	1
296	115	1
297	115	1
298	115	1
299	115	1
300	115	1
301	115	1
302	115	1
303	115	1
304	115	1
305	115	1
306	115	1
307	115	1
308	115	1
309	114	1
310	115	1
311	115	1
312	115	1
313	115	1
314	115	1
315	115	1
316	115	1
317	115	1
318	115	1
319	115	1
320	115	1
321	115	1
322	115	1
323	115	1
324	115	1
325	115	1
326	115	1
327	115	1
328	115	1
329	115	1
330	115	1
331	115	1
332	115	1
333	115	1
334	115	1
335	115	1
336	115	1
337	115	1
338	115	1
339	115	1
340	115	1
341	115	1
342	115	1
343	115	1
344	115	1
345	115	1
346	115	1
347	115	1
348	115	1
349	115	1
350	115	1
351	115	1
352	115	1
353	114	1
354	113	1
355	115	1
356	115	1
357	115	1
358	115	1
359	115	1
360	115	1
361	115	1
362	115	1
363	115	1
364	115	1
365	115	1
366	115	1
367	115	1
368	115	1
369	115	1
370	115	1
371	115	1
372	115	1
373	115	1
374	115	1
375	115	1
376	115	1
377	115	1
378	115	1
379	115	1
380	115	1
381	115	1
382	115	1
383	115	1
384	115	1
385	115	1
386	113	1
387	115	1
388	115	1
389	115	1
390	115	1
391	115	1
392	115	1
393	115	1
394	115	1
395	115	1
396	115	1
397	115	1
398	115	1
399	115	1
400	115	1
401	115	1
402	115	1
403	115	1
404	115	1
405	115	1
406	115	1
407	115	1
408	115	1
409	115	1
410	115	1
411	115	1
412	115	1
413	115	1
414	115	1
415	115	1
416	115	1
417	115	1
418	115	1
419	115	1
420	115	1
421	115	1
422	115	1
423	115	1
424	115	1
425	115	1
426	115	1
427	115	1
428	115	1
429	115	1
430	115	1
431	115	1
432	115	1
433	115	1
434	115	1
435	115	1
436	115	1
437	115	1
438	115	1
439	115	1
440	115	1
441	115	1
442	115	1
443	115	1
444	115	1
445	115	1
446	115	1
447	115	1
448	115	1
449	115	1
450	115	1
451	115	1
452	115	1
453	115	1
454	115	1
455	115	1
456	115	1
457	115	1
458	115	1
459	115	1
460	115	1
461	115	1
462	115	1
463	115	1
464	115	1
465	115	1
466	115	1
467	115	1
468	115	1
469	115	1
470	115	1
471	115	1
472	115	1
473	115	1
474	115	1
475	115	1
476	115	1
477	115	1
478	115	1
479	115	1
480	115	1
481	115	1
482	115	1
483	115	1
484	115	1
485	115	1
486	115	1
487	115	1
488	115	1
489	115	1
490	115	1
491	115	1
492	115	1
493	115	1
494	115	1
495	115	1
496	115	1
497	115	1
498	115	1
499	115	1
500	115	1
501	115	1
502	115	1
503	115	1
504	115	1
505	115	1
506	115	1
507	115	1
508	115	1
509	113	1
510	115	1
511	115	1
512	115	1
513	115	1
514	115	1
515	115	1
516	115	1
517	115	1
518	115	1
519	115	1
520	115	1
521	115	1
522	115	1
523	115	1
524	115	1
525	115	1
526	115	1
527	115	1
528	115	1
529	115	1
530	115	1
531	115	1
532	115	1
533	115	1
534	115	1
535	115	1
536	115	1
537	115	1
538	115	1
539	115	1
540	115	1
541	115	1
542	115	1
543	115	1
544	115	1
545	115	1
546	115	1
547	115	1
548	115	1
549	115	1
550	115	1
551	115	1
552	115	1
553	115	1
554	115	1
555	115	1
556	113	1
557	115	1
558	115	1
559	115	1
560	115	1
561	115	1
562	115	1
563	115	1
564	115	1
565	115	1
566	115	1
567	115	1
568	115	1
569	115	1
570	115	1
571	115	1
572	115	1
573	115	1
574	115	1
575	115	1
576	115	1
577	115	1
578	115	1
579	115	1
580	115	1
581	115	1
582	115	1
583	115	1
584	115	1
585	115	1
586	115	1
587	115	1
588	115	1
589	115	1
590	115	1
591	115	1
592	115	1
593	115	1
594	115	1
595	115	1
596	115	1
597	115	1
598	115	1
599	115	1
600	115	1
601	115	1
602	115	1
603	115	1
604	115	1
605	115	1
606	115	1
607	115	1
608	115	1
609	115	1
610	115	1
611	115	1
612	115	1
613	115	1
614	115	1
615	115	1
616	115	1
617	115	1
618	115	1
619	115	1
620	115	1
621	115	1
622	115	1
623	115	1
624	115	1
625	114	1
626	115	1
627	115	1
628	115	1
629	115	1
630	115	1
631	115	1
632	115	1
633	115	1
634	115	1
635	115	1
636	115	0
637	115	0
638	115	0
639	115	0
640	115	0
641	115	0
642	115	0
643	115	0
644	115	0
645	115	0
646	115	0
647	115	0
648	115	0
649	115	0
650	115	0
651	115	0
652	115	0
653	115	0
654	115	0
655	115	0
656	115	0
657	115	0
658	115	0
659	115	0
660	115	0
661	115	0
662	115	0
663	115	0
664	115	0
665	115	0
666	114	0
667	115	0
668	115	0
669	115	0
670	114	0
671	115	0
672	115	0
673	115	0
674	115	0
675	115	0
676	115	0
677	115	0
678	115	0
679	115	0
680	115	0
681	115	0
682	115	0
683	115	0
684	115	0
685	115	0
686	115	0
687	115	0
688	115	0
689	115	0
690	115	0
691	115	0
692	115	0
693	115	0
694	115	0
695	115	0
696	115	0
697	115	0
698	115	0
699	115	0
700	115	0
701	115	0
702	115	0
703	115	0
704	115	0
705	115	0
706	114	0
707	115	0
708	115	0
709	115	0
710	115	0
711	115	0
712	115	0
713	115	0
714	115	0
715	115	0
716	115	0
717	114	0
718	115	0
719	114	0
720	115	0
721	115	0
722	115	0
723	115	0
724	115	0
725	115	0
726	115	0
727	115	0
728	115	0
729	115	0
730	115	0
731	115	0
732	115	0
733	115	0
734	115	0
735	115	0
736	115	0
737	115	0
738	115	0
739	115	0
740	115	0
741	115	0
742	115	0
743	114	0
744	115	0
745	115	0
746	115	0
747	115	0
748	115	0
749	115	0
750	115	0
751	115	0
752	115	0
753	115	0
754	115	0
755	115	0
756	115	0
757	115	0
758	114	0
759	115	0
760	115	0
761	115	0
762	115	0
763	115	0
764	115	0
765	115	0
766	115	0
767	115	0
768	115	0
769	115	0
770	115	0
771	115	0
772	115	0
773	115	0
774	115	0
775	115	0
776	115	0
777	115	0
778	115	0
779	115	0
780	115	0
781	115	0
782	115	0
783	115	0
784	115	0
785	114	0
786	115	0
787	115	0
788	115	0
789	115	0
790	115	0
791	115	0
792	115	0
793	115	0
794	115	0
795	115	0
796	115	0
797	115	0
798	115	0
799	115	0
800	115	0
801	115	0
802	115	0
803	115	0
804	115	0
805	115	0
806	115	0
807	115	0
808	115	0
809	115	0
810	115	0
811	115	0
812	115	0
813	115	0
814	115	0
815	115	0
816	115	0
817	115	0
818	115	0
819	115	0
820	115	0
821	115	0
822	115	0
823	115	0
824	115	0
825	115	0
826	115	0
827	115	0
828	115	0
829	115	0
830	115	0
831	115	0
832	115	0
833	115	0
834	114	0
835	115	0
836	115	0
837	115	0
838	115	0
839	115	0
840	115	0
841	115	0
842	115	0
843	115	0
844	115	0
845	115	0
846	115	0
847	115	0
848	115	0
849	115	0
850	115	0
851	115	0
852	115	0
853	115	0
854	115	0
855	114	0
856	115	0
857	115	0
858	115	0
859	115	0
860	115	0
861	115	0
862	115	0
863	115	0
864	115	0
865	115	0
866	115	0
867	115	0
868	115	0
869	115	0
870	115	0
871	115	0
872	115	0
873	115	0
874	115	0
875	115	0
876	115	0
877	115	0
