Oscilloscope data. 
Time step = 10,00 nS
Voltage step = 3,125 mV
Zero level = 128

N 	Smpl.	Trig

0	122	0
1	121	0
2	121	0
3	122	0
4	122	0
5	121	0
6	121	0
7	121	0
8	121	0
9	122	0
10	121	0
11	121	0
12	121	0
13	121	0
14	121	0
15	122	0
16	121	0
17	121	0
18	121	0
19	123	0
20	123	0
21	123	0
22	121	0
23	121	0
24	121	0
25	121	0
26	121	0
27	121	0
28	121	0
29	121	0
30	121	0
31	121	0
32	121	0
33	121	0
34	121	0
35	121	0
36	121	0
37	121	0
38	121	0
39	121	0
40	121	0
41	122	0
42	121	0
43	121	0
44	121	0
45	121	0
46	121	0
47	123	0
48	121	0
49	121	0
50	121	0
51	121	0
52	121	0
53	121	0
54	121	0
55	121	0
56	121	0
57	121	0
58	121	0
59	121	0
60	121	0
61	121	0
62	121	0
63	121	0
64	121	0
65	121	0
66	121	0
67	121	0
68	122	0
69	121	0
70	121	0
71	121	0
72	121	0
73	121	0
74	121	0
75	121	0
76	121	0
77	122	0
78	121	0
79	121	0
80	121	0
81	121	0
82	121	0
83	122	0
84	121	0
85	121	0
86	121	0
87	121	0
88	123	0
89	121	0
90	123	0
91	121	0
92	121	0
93	121	0
94	121	0
95	123	0
96	122	0
97	121	0
98	121	0
99	121	0
100	121	0
101	121	1
102	123	1
103	122	1
104	121	1
105	121	1
106	121	1
107	122	1
108	122	1
109	123	1
110	123	1
111	122	1
112	123	1
113	121	1
114	122	1
115	122	1
116	123	1
117	121	1
118	123	1
119	123	1
120	121	1
121	121	1
122	121	1
123	121	1
124	121	1
125	123	1
126	123	1
127	121	1
128	121	1
129	121	1
130	122	1
131	121	1
132	123	1
133	121	1
134	121	1
135	121	1
136	122	1
137	123	1
138	122	1
139	121	1
140	121	1
141	122	1
142	123	1
143	123	1
144	123	1
145	122	1
146	123	1
147	121	1
148	121	1
149	121	1
150	121	1
151	123	1
152	122	1
153	121	1
154	123	1
155	141	1
156	212	1
157	221	1
158	224	1
159	225	1
160	227	1
161	227	1
162	225	1
163	225	1
164	225	1
165	221	1
166	167	1
167	136	1
168	127	1
169	123	1
170	121	1
171	121	1
172	123	1
173	123	1
174	123	1
175	147	1
176	212	1
177	220	1
178	223	1
179	224	1
180	225	1
181	225	1
182	224	1
183	224	1
184	225	1
185	221	1
186	177	1
187	145	1
188	131	1
189	124	1
190	121	1
191	120	1
192	120	1
193	121	1
194	124	1
195	155	1
196	213	1
197	221	1
198	224	1
199	225	1
200	227	1
201	227	1
202	226	1
203	225	1
204	226	1
205	217	1
206	153	1
207	131	1
208	127	1
209	124	1
210	123	1
211	122	1
212	122	1
213	123	1
214	124	1
215	175	1
216	215	1
217	221	1
218	225	1
219	227	1
220	228	1
221	228	1
222	227	1
223	227	1
224	227	1
225	207	1
226	144	1
227	127	1
228	121	1
229	120	1
230	121	1
231	123	1
232	123	1
233	123	1
234	125	1
235	199	1
236	219	1
237	224	1
238	227	1
239	228	1
240	229	1
241	229	1
242	229	1
243	228	1
244	229	1
245	169	1
246	139	1
247	133	1
248	129	1
249	124	1
250	122	1
251	121	1
252	121	1
253	121	1
254	149	1
255	217	1
256	225	1
257	227	1
258	229	1
259	229	1
260	231	1
261	228	1
262	228	1
263	225	1
264	208	1
265	151	1
266	123	1
267	117	1
268	119	1
269	121	1
270	123	1
271	124	1
272	124	1
273	124	1
274	124	1
275	123	1
276	121	1
277	121	1
278	121	1
279	121	1
280	121	1
281	121	1
282	121	1
283	121	1
284	121	1
285	121	1
286	121	1
287	121	1
288	121	1
289	121	1
290	123	1
291	121	1
292	121	1
293	121	1
294	121	1
295	122	1
296	121	1
297	121	1
298	121	1
299	121	1
300	123	1
301	123	1
302	121	1
303	121	1
304	121	1
305	121	1
306	121	1
307	121	1
308	121	1
309	121	1
310	122	1
311	121	1
312	121	1
313	121	1
314	121	1
315	121	1
316	123	1
317	121	1
318	121	1
319	121	1
320	121	1
321	122	1
322	121	1
323	121	1
324	121	1
325	121	1
326	123	1
327	122	1
328	121	1
329	121	1
330	121	1
331	121	1
332	121	1
333	123	1
334	121	1
335	121	1
336	121	1
337	121	1
338	121	1
339	121	1
340	121	1
341	121	1
342	121	1
343	121	1
344	121	1
345	121	1
346	121	1
347	121	1
348	121	1
349	121	1
350	122	1
351	121	1
352	121	1
353	121	1
354	121	1
355	123	1
356	123	1
357	121	1
358	121	1
359	121	1
360	121	1
361	121	1
362	121	1
363	121	1
364	121	1
365	121	1
366	121	1
367	121	1
368	121	1
369	121	1
370	121	1
371	121	1
372	121	1
373	121	1
374	121	1
375	121	1
376	121	1
377	121	1
378	121	1
379	121	1
380	121	1
381	123	1
382	121	1
383	121	1
384	121	1
385	121	1
386	121	1
387	121	1
388	123	1
389	121	1
390	121	1
391	121	1
392	121	1
393	121	1
394	122	1
395	121	1
