Oscilloscope data. 
Time step = 20,00 nS
Voltage step = 3,125 mV
Zero level = 128

N 	Smpl.	Trig

0	123	0
1	122	0
2	121	0
3	121	0
4	122	0
5	121	0
6	123	0
7	123	0
8	121	0
9	122	0
10	121	0
11	123	0
12	121	0
13	121	0
14	121	0
15	122	0
16	121	0
17	121	0
18	123	0
19	121	0
20	121	0
21	121	0
22	121	0
23	121	0
24	123	0
25	121	0
26	121	0
27	121	0
28	121	0
29	121	0
30	121	0
31	121	0
32	123	0
33	122	0
34	122	0
35	123	0
36	122	0
37	123	0
38	121	0
39	121	0
40	121	0
41	121	0
42	121	0
43	121	0
44	121	0
45	123	0
46	121	0
47	121	0
48	121	0
49	122	0
50	123	0
51	123	0
52	123	0
53	122	0
54	121	0
55	123	0
56	123	0
57	121	0
58	121	0
59	122	0
60	122	0
61	123	0
62	123	0
63	123	0
64	123	0
65	121	0
66	121	0
67	121	0
68	121	0
69	121	0
70	121	0
71	121	0
72	121	0
73	121	0
74	121	0
75	121	0
76	122	0
77	121	0
78	122	0
79	121	0
80	123	0
81	122	0
82	121	0
83	121	0
84	123	0
85	121	0
86	122	0
87	123	0
88	123	0
89	121	0
90	122	0
91	121	0
92	121	0
93	121	0
94	121	0
95	121	0
96	121	0
97	121	0
98	121	0
99	121	0
100	122	0
101	121	1
102	123	1
103	123	1
104	121	1
105	122	1
106	121	1
107	121	1
108	121	1
109	121	1
110	121	1
111	122	1
112	121	1
113	121	1
114	121	1
115	121	1
116	121	1
117	121	1
118	121	1
119	122	1
120	121	1
121	121	1
122	122	1
123	122	1
124	121	1
125	122	1
126	122	1
127	124	1
128	215	1
129	225	1
130	227	1
131	225	1
132	225	1
133	137	1
134	125	1
135	125	1
136	123	1
137	124	1
138	215	1
139	224	1
140	226	1
141	225	1
142	223	1
143	141	1
144	123	1
145	125	1
146	125	1
147	125	1
148	217	1
149	225	1
150	227	1
151	225	1
152	225	1
153	132	1
154	124	1
155	123	1
156	124	1
157	131	1
158	221	1
159	228	1
160	228	1
161	227	1
162	225	1
163	125	1
164	128	1
165	125	1
166	123	1
167	173	1
168	224	1
169	228	1
170	230	1
171	228	1
172	195	1
173	131	1
174	119	1
175	121	1
176	123	1
177	215	1
178	227	1
179	231	1
180	229	1
181	227	1
182	149	1
183	120	1
184	126	1
185	125	1
186	123	1
187	121	1
188	121	1
189	123	1
190	123	1
191	121	1
192	121	1
193	121	1
194	121	1
195	122	1
196	121	1
197	121	1
198	121	1
199	121	1
200	121	1
201	121	1
202	121	1
203	121	1
204	121	1
205	121	1
206	121	1
207	121	1
208	121	1
209	121	1
210	121	1
211	121	1
212	121	1
213	122	1
214	121	1
215	121	1
216	121	1
217	123	1
218	123	1
219	121	1
220	121	1
221	121	1
222	121	1
223	121	1
224	121	1
225	121	1
226	121	1
227	121	1
228	122	1
229	121	1
230	122	1
231	123	1
232	121	1
233	121	1
234	122	1
235	121	1
236	121	1
237	122	1
238	121	1
239	121	1
240	121	1
241	121	1
242	121	1
243	121	1
244	122	1
245	121	1
246	123	1
247	121	1
248	123	1
249	122	1
250	121	1
251	121	1
252	123	1
253	121	1
254	121	1
255	123	1
256	121	1
257	121	1
258	121	1
259	121	1
260	122	1
261	121	1
262	121	1
263	121	1
264	121	1
265	121	1
266	121	1
267	123	1
268	121	1
269	121	1
270	123	1
271	123	1
272	123	1
273	123	1
274	122	1
275	122	1
276	121	1
277	121	1
278	123	1
279	121	1
280	122	1
281	123	1
282	121	1
283	123	1
284	123	1
285	123	1
286	121	1
287	121	1
288	123	1
289	121	1
290	121	1
291	122	1
292	122	1
293	121	1
294	121	1
295	122	1
296	121	1
297	123	1
298	121	1
299	121	1
300	122	1
301	121	1
302	121	1
303	123	1
304	121	1
305	121	1
306	121	1
307	121	1
308	123	1
309	121	1
310	121	1
311	121	1
312	121	1
313	121	1
314	121	1
315	121	1
316	121	1
317	121	1
318	121	1
319	121	1
320	121	1
321	121	1
322	121	1
323	121	1
324	121	1
325	122	1
326	121	1
327	121	1
328	121	1
329	121	1
330	121	1
331	121	1
332	122	1
333	121	1
334	121	1
335	121	1
336	123	1
337	121	1
338	121	1
339	121	1
340	121	1
341	121	1
342	121	1
343	121	1
344	121	1
345	121	1
346	121	1
347	121	1
348	122	1
349	123	1
350	121	1
351	122	1
352	121	1
353	121	1
354	123	1
355	121	1
356	121	1
357	121	1
358	121	1
359	122	1
360	121	1
361	121	1
362	121	1
363	121	1
364	121	1
365	122	1
366	121	1
367	121	1
368	121	1
369	121	0
370	121	0
371	121	0
372	121	0
373	121	0
374	121	0
375	121	0
376	123	0
377	121	0
378	121	0
379	121	0
380	123	0
381	123	0
382	121	0
383	121	0
384	123	0
385	123	0
386	121	0
387	121	0
388	121	0
389	122	0
390	121	0
391	121	0
392	122	0
393	122	0
394	121	0
395	121	0
396	123	0
397	123	0
398	121	0
399	121	0
400	121	0
401	122	0
402	121	0
403	121	0
404	121	0
405	121	0
406	121	0
407	122	0
408	122	0
409	122	0
410	122	0
411	123	0
412	122	0
413	121	0
414	121	0
415	121	0
416	121	0
417	121	0
418	123	0
419	121	0
420	121	0
421	121	0
422	121	0
423	121	0
424	121	0
425	122	0
426	121	0
427	121	0
428	121	0
429	121	0
430	121	0
431	121	0
432	121	0
433	121	0
434	121	0
435	121	0
436	121	0
437	121	0
438	122	0
439	121	0
440	122	0
441	123	0
442	121	0
443	121	0
444	122	0
445	121	0
446	121	0
447	121	0
448	122	0
449	122	0
450	121	0
451	122	0
452	121	0
453	121	0
454	123	0
455	121	0
456	121	0
457	121	0
458	121	0
459	121	0
460	122	0
461	121	0
462	121	0
463	121	0
464	121	0
465	121	0
466	121	0
467	121	0
468	121	0
469	121	0
470	121	0
471	121	0
472	121	0
473	121	0
474	121	0
475	121	0
476	121	0
477	121	0
478	121	0
479	123	0
480	121	0
481	121	0
482	121	0
483	121	0
484	121	0
485	121	0
486	121	0
487	121	0
488	121	0
489	121	0
490	121	0
491	121	0
492	121	0
493	121	0
494	121	0
495	123	0
496	123	0
497	122	0
498	121	0
499	121	0
500	121	0
501	122	0
502	122	0
503	121	0
504	121	0
505	123	0
506	123	0
507	123	0
508	122	0
509	122	0
510	121	0
511	122	0
512	121	0
513	121	0
514	121	0
515	121	0
516	121	0
517	121	0
518	121	0
519	121	0
520	121	0
521	121	0
522	121	0
523	123	0
524	121	0
525	121	0
526	121	0
527	121	0
528	123	0
529	121	0
530	121	0
531	122	0
532	121	0
533	121	0
534	121	0
535	121	0
536	121	0
537	121	0
538	121	0
539	121	0
540	121	0
541	121	0
542	121	0
543	121	0
544	121	0
545	121	0
546	121	0
547	121	0
548	123	0
549	121	0
550	122	0
551	122	0
552	121	0
553	121	0
554	121	0
555	123	0
556	121	0
557	122	0
558	121	0
559	121	0
560	123	0
561	121	0
562	121	0
563	122	0
564	121	0
565	121	0
566	121	0
567	121	0
568	121	0
569	122	0
570	121	0
571	121	0
572	123	0
573	121	0
574	121	0
575	121	0
576	121	1
577	121	1
578	121	1
579	121	1
580	121	1
581	121	1
582	121	1
583	121	1
584	121	1
585	121	1
586	121	1
587	123	1
588	121	1
589	121	1
590	121	1
591	121	1
592	121	1
593	121	1
594	121	1
595	121	1
596	121	1
597	123	1
598	123	1
599	121	1
600	121	1
601	121	1
602	121	1
603	175	1
604	221	1
605	225	1
606	227	1
607	225	1
608	208	1
609	129	1
610	125	1
611	123	1
612	122	1
613	183	1
614	220	1
615	224	1
616	225	1
617	224	1
618	211	1
619	128	1
620	128	1
621	124	1
622	121	1
623	192	1
624	221	1
625	225	1
626	227	1
627	226	1
628	195	1
629	127	1
630	124	1
631	123	1
632	123	1
633	208	1
634	224	1
635	228	1
636	228	1
637	227	1
638	161	1
639	132	1
640	125	1
641	121	1
642	122	1
643	216	1
644	227	1
645	230	1
646	228	1
647	227	1
648	151	1
649	117	1
650	121	1
651	124	1
652	128	1
653	221	1
654	228	1
655	229	1
656	228	1
657	227	1
658	127	1
659	128	1
660	125	1
661	122	1
662	121	1
663	121	1
664	123	1
665	123	1
666	122	1
667	121	1
668	121	1
669	123	1
670	121	1
671	121	1
672	121	1
673	121	1
674	121	1
675	121	1
676	121	1
677	121	1
678	121	1
679	121	1
680	121	1
681	121	1
682	121	1
683	121	1
684	121	1
685	121	1
686	121	1
687	121	1
688	121	1
689	121	1
690	121	1
691	121	1
692	121	1
693	121	1
694	121	1
695	121	1
696	121	1
697	121	1
698	121	1
699	121	1
700	121	1
701	121	1
702	121	1
703	121	1
704	121	1
705	122	1
706	121	1
707	121	1
708	121	1
709	121	1
710	121	1
711	121	1
712	122	1
713	121	1
714	121	1
715	121	1
716	121	1
717	121	1
718	121	1
719	121	1
720	121	1
721	122	1
