Oscilloscope data. 
Time step = 10,00 nS
Voltage step = 3,125 mV
Zero level = 185

N 	Smpl.	Trig

0	185	0
1	185	0
2	185	0
3	185	0
4	185	0
5	185	0
6	187	0
7	186	0
8	185	0
9	185	0
10	185	0
11	187	0
12	185	0
13	185	0
14	185	0
15	187	0
16	185	0
17	185	0
18	185	0
19	185	0
20	185	0
21	185	0
22	185	0
23	185	0
24	187	0
25	187	0
26	185	0
27	186	0
28	185	0
29	185	0
30	185	0
31	186	0
32	187	0
33	187	0
34	185	0
35	185	0
36	187	0
37	185	0
38	185	0
39	185	0
40	185	0
41	185	0
42	185	0
43	185	0
44	185	0
45	185	0
46	186	0
47	185	0
48	186	0
49	185	0
50	185	0
51	186	0
52	186	0
53	187	0
54	185	0
55	185	0
56	186	0
57	185	0
58	185	0
59	187	0
60	185	0
61	187	0
62	185	0
63	186	0
64	187	0
65	185	0
66	185	0
67	186	0
68	187	0
69	185	0
70	185	0
71	185	0
72	185	0
73	185	0
74	186	0
75	185	0
76	186	0
77	185	0
78	186	0
79	187	0
80	186	0
81	186	0
82	187	0
83	187	0
84	185	0
85	186	0
86	185	0
87	185	0
88	185	0
89	186	0
90	186	0
91	187	0
92	185	0
93	185	0
94	185	0
95	187	0
96	187	0
97	187	0
98	186	0
99	186	0
100	186	0
101	187	1
102	187	1
103	187	1
104	186	1
105	187	1
106	185	1
107	185	1
108	187	1
109	186	1
110	186	1
111	185	1
112	187	1
113	186	1
114	185	1
115	185	1
116	186	1
117	185	1
118	187	1
119	186	1
120	185	1
121	186	1
122	187	1
123	185	1
124	185	1
125	187	1
126	187	1
127	185	1
128	185	1
129	185	1
130	185	1
131	185	1
132	185	1
133	185	1
134	185	1
135	187	1
136	201	1
137	220	1
138	236	1
139	247	1
140	254	1
141	254	1
142	254	1
143	248	1
144	225	1
145	198	1
146	172	1
147	148	1
148	137	1
149	133	1
150	135	1
151	137	1
152	137	1
153	140	1
154	157	1
155	181	1
156	204	1
157	223	1
158	237	1
159	247	1
160	253	1
161	253	1
162	249	1
163	237	1
164	213	1
165	186	1
166	161	1
167	141	1
168	135	1
169	133	1
170	136	1
171	137	1
172	137	1
173	145	1
174	167	1
175	191	1
176	211	1
177	227	1
178	239	1
179	247	1
180	251	1
181	249	1
182	243	1
183	224	1
184	200	1
185	175	1
186	151	1
187	139	1
188	135	1
189	135	1
190	136	1
191	137	1
192	139	1
193	155	1
194	177	1
195	200	1
196	217	1
197	231	1
198	241	1
199	247	1
200	248	1
201	245	1
202	235	1
203	213	1
204	189	1
205	165	1
206	145	1
207	136	1
208	135	1
209	135	1
210	137	1
211	137	1
212	145	1
213	167	1
214	187	1
215	207	1
216	222	1
217	234	1
218	241	1
219	245	1
220	245	1
221	239	1
222	223	1
223	201	1
224	179	1
225	155	1
226	141	1
227	135	1
228	135	1
229	135	1
230	136	1
231	139	1
232	155	1
233	175	1
234	196	1
235	213	1
236	227	1
237	236	1
238	243	1
239	244	1
240	241	1
241	232	1
242	213	1
243	191	1
244	169	1
245	149	1
246	137	1
247	135	1
248	135	1
249	136	1
250	137	1
251	147	1
252	165	1
253	185	1
254	203	1
255	218	1
256	229	1
257	238	1
258	241	1
259	241	1
260	237	1
261	223	1
262	202	1
263	181	1
264	161	1
265	144	1
266	136	1
267	135	1
268	136	1
269	137	1
270	140	1
271	155	1
272	175	1
273	194	1
274	211	1
275	224	1
276	233	1
277	239	1
278	241	1
279	239	1
280	231	1
281	212	1
282	192	1
283	173	1
284	153	1
285	140	1
286	136	1
287	135	1
288	136	1
289	137	1
290	147	1
291	165	1
292	184	1
293	202	1
294	216	1
295	227	1
296	235	1
297	239	1
298	239	1
299	235	1
300	221	1
301	203	1
302	183	1
303	163	1
304	147	1
305	137	1
306	135	1
307	136	1
308	136	1
309	141	1
310	156	1
311	173	1
312	192	1
313	208	1
314	221	1
315	231	1
316	236	1
317	239	1
318	237	1
319	227	1
320	212	1
321	193	1
322	175	1
323	156	1
324	143	1
325	137	1
